Item,Price
Caffé Latte and Sandwich,Kč165.00
Americano and Sandwich,Kč165.00
Caffé Latte and Skořicová rolka,Kč145.00
Sladký brunch,Kč147.00
Gingerbread Muffin,Kč95.00
Gingerbread Plum Cake,Kč129.00
Toffee Nut Syrup,Kč250.00
Gingerbread Syrup,Kč250.00
Christmas Tree Brownie,Kč95.00
Christmas Blonde 2024,Kč320.00
Chocolate Cake Pop,Kč89.00
Birthday Cake Pop,Kč89.00
Butter Croissant,Kč49.00
Chocolate Croissant,Kč55.00
Vegan Raspberry Croissant,Kč55.00
San Sebastian Pistacio Cheesecake,Kč129.00
Pistachio Cookie,Kč89.00
Pistachio Muffin,Kč95.00
Espresso Brownie,Kč83.75
Banana Bread,Kč84.23
Chocolate Muffin,Kč88.68
Belgian Waffle,Kč69.00
Cinnamon roll,Kč99.00
Blueberry Muffin,Kč85.50
Strawberry Cheesecake,Kč128.64
Carrot Cake,Kč134.75
New York Cheesecake,Kč134.33
Chocolate Cake,Kč135.00
Vegan Apple Pie,Kč119.00
Decaf Espresso,Kč320.00
Verona,Kč320.00
Sumatra,Kč320.00
Kenya,Kč320.00
Pike Place Roast,Kč320.00
Blonde Espresso Roast,Kč320.00
Guatemala Antigua,Kč320.00
Espresso Roast,Kč320.00
Colombia Narino,Kč320.00
Ginger Caribia,Kč79.00
Vittel Sport,Kč79.00
Vitamin Well Defence,Kč89.00
UGO Orange Juice,Kč79.00
Dash Water Peach,Kč85.00
Vitamin Well Recover,Kč89.00
UGO Apple Juice,Kč79.00
Still Water,Kč39.00
Tonic Water,Kč65.00
Sparkling Water,Kč39.00
UGO Exotic Juice,Kč79.00
Vitamin Well Antioxidant,Kč89.00
Vitamin Well Hydrate,Kč89.00
Dash Water Mango,Kč85.00
Immunity Shot,Kč69.00
